head,relation,tail,label
/m/01309x,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/02cx72,1
/m/01k3tq,/location/location/time_zones,/m/02hczc,0
/m/011yhm,/award/award_winning_work/awards_won./award/award_honor/award,/m/02wypbh,1
/m/0139q5,/people/person/gender,/m/02zsn,1
/m/01309x,/music/artist/track_contributions./music/track_contribution/role,/m/042v_gx,1
/m/01314k,/education/educational_institution/colors,/m/01g5v,1
/m/0137hn,/people/person/nationality,/m/012x8m,0
/m/011yqc,/award/award_winning_work/awards_won./award/award_honor/award,/m/0gqyl,1
/m/01309x,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/02x8n1n,0
/m/0146mv,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/01pp3p,0
/m/012fvq,/business/business_operation/assets./measurement_unit/dated_money_value/currency,/m/09nqf,1
/m/0140t7,/music/artist/track_contributions./music/track_contribution/role,/m/018jz,0
/m/011ypx,/film/film/other_crew./film/film_crew_gig/film_crew_role,/m/089fss,1
/m/012wgb,/location/location/contains,/m/02ky346,0
/m/013knm,/award/award_winner/awards_won./award/award_honor/award_winner,/m/011zd3,1
/m/0135xb,/people/person/gender,/m/01s0_f,0
/m/0134w7,/film/actor/film./film/performance/film,/m/0dgst_d,1
/m/0136kr,/organization/organization/child./organization/organization_relationship/child,/m/01tlyq,1
/m/0133_p,/music/genre/artists,/m/01304j,1
/m/011lvx,/people/person/profession,/m/07tk7,0
/m/016jny,/film/actor/film./film/performance/film,/m/0k4fz,0
/m/012v1t,/government/politician/government_positions_held./government/government_position_held/legislative_sessions,/m/01p0vf,0
/m/013w8y,/award/award_nominee/award_nominations./award/award_nomination/award,/m/01gvpz,0
/m/013xrm,/people/ethnicity/people,/m/0d1pc,0
/m/011yrp,/award/award_winning_work/awards_won./award/award_honor/award,/m/0gqng,1
/m/0134w7,/people/person/places_lived./people/place_lived/location,/m/0jt5zcn,1
/m/013h9,/location/hud_county_place/county,/m/013h9,1
/m/013tcv,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,/m/018db8,0
/m/0121rx,/award/award_nominee/award_nominations./award/award_nomination/award,/m/0gr4k,0
/m/0139q5,/award/award_nominee/award_nominations./award/award_nomination/award,/m/04x4gw,0
/m/0gghm,/film/film/produced_by,/m/04t38b,0
/m/011yfd,/film/film/genre,/m/05p553,1
/m/0556j8,/film/film/release_date_s./film/film_regional_release_date/film_release_region,/m/015fr,0
/m/014635,/organization/organization_member/member_of./organization/organization_membership/organization,/m/03lb_v,1
/m/013pp3,/influence/influence_node/influenced_by,/m/09146g,0
/m/013y1f,/music/performance_role/track_performances./music/track_contribution/role,/m/04w_7,0
/m/012ky3,/award/award_nominee/award_nominations./award/award_nomination/award,/m/02qvyrt,1
/m/0127xk,/award/award_nominee/award_nominations./award/award_nomination/award,/m/0bp_b2,1
/m/011yr9,/award/award_winning_work/awards_won./award/award_honor/award_winner,/m/01vrt_c,0
/m/0190y4,/people/ethnicity/people,/m/011zd3,0
/m/012q4n,/people/person/profession,/m/0q04f,1
/m/011v3,/people/person/gender,/m/02zsn,0
/m/0127gn,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/0126hc,0
/m/013pp3,/influence/influence_node/influenced_by,/m/040_t,1
/m/011ysn,/film/film/other_crew./film/film_crew_gig/film_crew_role,/m/0215hd,1
/m/012j5h,/music/artist/contribution./music/recording_contribution/performance_role,/m/0132_h,0
/m/013q0p,/film/film/genre,/m/0gf28,1
/m/012rng,/people/person/profession,/m/02lp0w,0
/m/011yfd,/film/film/genre,/m/07s9rl0,1
/m/012qjw,/medicine/symptom/symptom_of,/m/011zdm,1
/m/013rds,/common/topic/webpage./common/webpage/category,/m/08mbj5d,1
/m/0gghm,/film/film/language,/m/03_9r,0
/m/013w8y,/award/award_nominee/award_nominations./award/award_nomination/award,/m/02wh75,1
/m/011yqc,/film/film/release_date_s./film/film_regional_release_date/film_release_region,/m/0b478,0
/m/01d30f,/film/film/release_date_s./film/film_regional_release_date/film_release_region,/m/09c7w0,0
/m/0136pk,/people/person/nationality,/m/09c7w0,1
/m/0140t7,/people/person/languages,/m/02h40lc,1
/m/0137g1,/music/artist/track_contributions./music/track_contribution/role,/m/0l15bq,1
/m/013rds,/people/person/spouse_s./people/marriage/type_of_union,/m/04ztj,1
/m/036k0s,/award/award_winner/awards_won./award/award_honor/award_winner,/m/02g5h5,0
/m/011yxg,/award/award_winning_work/awards_won./award/award_honor/award_winner,/m/094wz7q,1
/m/0flw86,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/01cbt3,0
/m/0134s5,/music/artist/origin,/m/06y57,1
/m/011kn2,/organization/organization/headquarters./location/mailing_address/citytown,/m/05ksh,1
/m/01dnws,/award/award_nominee/award_nominations./award/award_nomination/award,/m/03r00m,0
/m/0125xq,/film/film/written_by,/m/035482,0
/m/010tkc,/location/hud_county_place/county,/m/011ydl,0
/m/010r6f,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,/m/0jbk9,1
/m/01ypsj,/film/actor/film./film/performance/special_performance_type,/m/01pb34,0
/m/0124k9,/award/award_winning_work/awards_won./award/award_honor/award_winner,/m/02js_6,1
/m/09cm54,/people/person/profession,/m/02hrh1q,0
/m/010xjr,/award/award_nominee/award_nominations./award/award_nomination/award,/m/02grdc,1
/m/01b30l,/people/person/profession,/m/018gz8,0
/m/014zws,/film/film/executive_produced_by,/m/05hj_k,0
/m/010bnr,/common/topic/webpage./common/webpage/category,/m/08mbj5d,1
/m/0134pk,/base/popstra/celebrity/friendship./base/popstra/friendship/participant,/m/062dn7,0
/m/0_3cs,/location/location/time_zones,/m/02fqwt,0
/m/0187nd,/people/deceased_person/place_of_burial,/m/018mm4,0
/m/011yrp,/film/film/language,/m/02h40lc,1
/m/011zf2,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/03_0p,1
/m/01438g,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/086sj,1
/m/0135dr,/government/political_party/politicians_in_this_party./government/political_party_tenure/politician,/m/05r4w,0
/m/01386_,/people/person/profession,/m/07y_7,0
/m/013km,/people/person/profession,/m/02ynfr,1
/m/011yd2,/award/award_winning_work/awards_won./award/award_honor/award,/m/03y8cbv,0
/m/01vw8mh,/award/award_winner/awards_won./award/award_honor/award_winner,/m/01vw20h,0
/m/037mh8,/film/film/release_date_s./film/film_regional_release_date/film_release_region,/m/06npd,0
/m/0hsb3,/people/person/gender,/m/02zsn,0
/m/0109vk,/location/hud_county_place/place,/m/0109vk,1
/m/0134bf,/location/administrative_division/country,/m/01cv3n,0
/m/013y1f,/music/performance_role/regular_performances./music/group_membership/role,/m/05kms,1
/m/0108xl,/location/location/time_zones,/m/02fqwt,1
/m/013w7j,/people/person/places_lived./people/place_lived/location,/m/013yq,1
/m/0100mt,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,/m/02f5qb,0
/m/011yd2,/film/film/production_companies,/m/016tw3,1
/m/012gk9,/film/film/language,/m/02h40lc,1
/m/010t4v,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,/m/0jbk9,1
/m/011k1h,/music/record_label/artist,/m/06b7s9,0
/m/0c6qh,/film/film/genre,/m/05p553,0
/m/011xy1,/education/educational_institution/students_graduates./education/education/major_field_of_study,/m/0_24q,0
/m/012m_,/location/country/form_of_government,/m/01q20,1
/m/011yqc,/film/film/production_companies,/m/0c41qv,1
/m/0133x7,/award/award_nominee/award_nominations./award/award_nomination/award,/m/05zr6wv,0
/m/03w5xm,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/01mqc_,0
/m/01jsk6,/education/educational_institution/students_graduates./education/education/major_field_of_study,/m/0193x,0
/m/011k1h,/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location,/m/09c7w0,1
/m/011j5x,/music/genre/artists,/m/02cpp,1
/m/012wyq,/location/location/contains,/m/014b4h,1
/m/0127m7,/base/popstra/celebrity/friendship./base/popstra/friendship/participant,/m/02vnpv,0
/m/013zdg,/education/educational_degree/people_with_this_degree./education/education/institution,/m/014zws,1
/m/013mzh,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,/m/0qmny,0
/m/013xh7,/soccer/football_team/current_roster./sports/sports_team_roster/position,/m/0154qm,0
/m/0134bf,/location/location/contains,/m/013t85,1
/m/07b_l,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,/m/014gjp,0
/m/013ksx,/location/location/contains,/m/0bthb,1
/m/030xr_,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/030_3z,0
/m/07zrf,/people/person/profession,/m/02hrh1q,0
/m/011x_4,/film/film/country,/m/09c7w0,1
/m/04y8r,/education/educational_degree/people_with_this_degree./education/education/institution,/m/07w0v,0
/m/012vct,/award/award_nominee/award_nominations./award/award_nomination/award,/m/040njc,1
/m/011yd2,/award/award_winning_work/awards_won./award/award_honor/award,/m/0k611,1
/m/01336l,/award/award_winning_work/awards_won./award/award_honor/award,/m/0gqyl,0
/m/01304j,/people/person/places_lived./people/place_lived/location,/m/0pswc,1
/m/013xrm,/people/ethnicity/people,/m/05p92jn,1
/m/0130sy,/music/artist/track_contributions./music/track_contribution/role,/m/03m5k,1
/m/0137g1,/people/person/spouse_s./people/marriage/type_of_union,/m/0mlzk,0
/m/013zdg,/education/educational_degree/people_with_this_degree./education/education/institution,/m/0187nd,1
/m/011yxy,/film/film/country,/m/0d0vqn,1
/m/0134wr,/award/award_nominee/award_nominations./award/award_nomination/award,/m/02nhxf,1
/m/011yqc,/award/award_winning_work/awards_won./award/award_honor/award,/m/09d28z,1
/m/013m4v,/location/location/adjoin_s./location/adjoining_relationship/adjoins,/m/0f2rq,1
/m/07cbcy,/music/artist/track_contributions./music/track_contribution/role,/m/05r5c,0
/m/012v1t,/government/politician/government_positions_held./government/government_position_held/legislative_sessions,/m/01gp_d,0
/m/011_6p,/music/performance_role/track_performances./music/track_contribution/role,/m/0l15bq,1
/m/013h9,/location/location/adjoin_s./location/adjoining_relationship/adjoins,/m/0mpbx,1
/m/012m_,/location/location/contains,/m/0c41qv,0
/m/011k_j,/music/performance_role/track_performances./music/track_contribution/role,/m/042v_gx,1
/m/0dtfn,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/086sj,0
/m/011lpr,/people/person/profession,/m/0dxtg,1
/m/07n3s,/music/performance_role/regular_performances./music/group_membership/role,/m/03m5k,0
/m/011j5x,/music/genre/artists,/m/04_jsg,1
/m/0135xb,/award/award_nominee/award_nominations./award/award_nomination/award,/m/01c92g,1
/m/0140t7,/film/actor/film./film/performance/film,/m/0259r0,0
/m/011ypx,/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for,/m/0214km,0
/m/034x61,/music/performance_role/regular_performances./music/group_membership/role,/m/01hww_,0
/m/014knw,/music/record_label/artist,/m/03fbc,0
/m/014488,/people/person/nationality,/m/01vswx5,0
/m/01279v,/people/ethnicity/people,/m/01dvtx,0
/m/013v5j,/people/person/profession,/m/01rr9f,0
/m/01hmk9,/award/award_nominee/award_nominations./award/award_nomination/award,/m/02f73p,0
/m/012yc,/music/genre/artists,/m/011z3g,1
/m/05842k,/award/award_winning_work/awards_won./award/award_honor/award_winner,/m/016tt2,0
/m/011_6p,/music/performance_role/track_performances./music/track_contribution/role,/m/06b_j,0
/m/011zdm,/award/award_winning_work/awards_won./award/award_honor/award,/m/054krc,0
/m/011yxg,/film/film/other_crew./film/film_crew_gig/film_crew_role,/m/02r96rf,1
/m/013xrm,/people/ethnicity/people,/m/01c427,0
/m/013w7j,/film/actor/film./film/performance/film,/m/05_5_22,1
/m/0144l1,/people/person/nationality,/m/011yxy,0
/m/011ysn,/film/film/other_crew./film/film_crew_gig/film_crew_role,/m/02nbqh,0
/m/0137n0,/award/award_nominee/award_nominations./award/award_nomination/award,/m/02gdjb,1
/m/0gkts9,/music/artist/origin,/m/0d6lp,0
/m/011ypx,/film/film/written_by,/m/0169dl,1
/m/011k1h,/music/record_label/artist,/m/03j24kf,1
/m/0p8h0,/award/award_winning_work/awards_won./award/award_honor/award,/m/099cng,0
/m/01q99h,/people/person/nationality,/m/09c7w0,0
/m/013y1f,/music/performance_role/regular_performances./music/group_membership/role,/m/03qjg,1
/m/012wgb,/location/location/contains,/m/020d8d,0
/m/011ysn,/film/film/country,/m/09c7w0,1
/m/012x4t,/common/topic/webpage./common/webpage/category,/m/08mbj5d,1
/m/011j5x,/music/genre/artists,/m/0dl6fv,0
/m/012c6x,/film/actor/film./film/performance/film,/m/032t2z,0
/m/01271h,/music/record_label/artist,/m/04b7xr,0
/m/0137hn,/award/award_nominee/award_nominations./award/award_nomination/award,/m/054ks3,1
/m/010p3,/people/person/gender,/m/05zppz,1
/m/013zyw,/people/person/profession,/m/01d30f,1
/m/01200d,/people/person/gender,/m/05zppz,1
/m/0124k9,/award/award_winning_work/awards_won./award/award_honor/award,/m/027gs1_,1
/m/09b6zr,/celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity,/m/043zg,0
/m/0133x7,/music/artist/track_contributions./music/track_contribution/role,/m/0979zs,1
/m/0133_p,/music/genre/artists,/m/03d9d6,1
/m/014488,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/014gf8,1
/m/011yth,/film/film/music,/m/05mgj0,0
/m/010p3,/tv/tv_personality/tv_regular_appearances./tv/tv_regular_personal_appearance/program,/m/06hwzy,1
/m/012x1l,/award/award_nominee/award_nominations./award/award_nomination/award,/m/02f73b,0
/m/011yrp,/film/film/release_date_s./film/film_regional_release_date/film_release_region,/m/0cv3w,0
/m/013y1f,/music/performance_role/track_performances./music/track_contribution/role,/m/05r5c,1
/m/01zv_,/film/film/estimated_budget./measurement_unit/dated_money_value/currency,/m/09nqf,0
/m/013knm,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/01tfck,1
/m/012201,/people/person/profession,/m/0d_wms,0
/m/013y1f,/music/performance_role/guest_performances./music/recording_contribution/performance_role,/m/0239kh,1
/m/0137g1,/music/artist/track_contributions./music/track_contribution/role,/m/07brj,1
/m/01438g,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,/m/0294zg,1
/m/065y4w7,/education/university/domestic_tuition./measurement_unit/dated_money_value/currency,/m/09nqf,0
/m/011s0,/people/profession/specialization_of,/m/0g2lq,0
/m/012rng,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,/m/0170_p,1
/m/011yth,/film/film/genre,/m/07s9rl0,1
/m/01tfck,/award/award_winning_work/awards_won./award/award_honor/award_winner,/m/02q42j_,0
/m/01386_,/people/person/profession,/m/0170s4,0
/m/0146mv,/common/topic/webpage./common/webpage/category,/m/08mbj5d,1
/m/013b2h,/award/award_ceremony/awards_presented./award/award_honor/award_winner,/m/0p_47,1
/m/0125xq,/film/film/other_crew./film/film_crew_gig/film_crew_role,/m/09vw2b7,1
/m/013t9y,/people/person/places_lived./people/place_lived/location,/m/06y57,1
/m/012s5j,/people/person/gender,/m/0gs96,0
/m/012x2b,/people/person/profession,/m/0g2lq,0
/m/013n60,/music/performance_role/track_performances./music/track_contribution/role,/m/01qbl,0
/m/011yg9,/film/film/release_date_s./film/film_regional_release_date/film_release_region,/m/09c7w0,1
/m/0131kb,/people/person/gender,/m/02b7nz,0
/m/03gj2,/people/person/profession,/m/02hrh1q,0
/m/0125xq,/film/film/release_date_s./film/film_regional_release_date/film_release_region,/m/0d060g,1
/m/013719,/education/educational_institution/students_graduates./education/education/major_field_of_study,/m/01vz0g4,0
/m/012x4t,/music/artist/track_contributions./music/track_contribution/role,/m/03v1s,0
/m/0h7x,/people/person/gender,/m/05zppz,0
/m/010p3,/people/person/profession,/m/0dxtg,1
/m/012c6j,/people/person/gender,/m/07brj,0
/m/0140t7,/people/person/profession,/m/010bnr,0
/m/011yr9,/film/film/genre,/m/037mjv,0
/m/013mzh,/film/film/genre,/m/02l7c8,0
/m/01386_,/common/topic/webpage./common/webpage/category,/m/08mbj5d,1
/m/012m_,/location/country/official_language,/m/02ztjwg,1
/m/012ykt,/people/person/religion,/m/092bf5,1
/m/013y1f,/music/performance_role/track_performances./music/track_contribution/role,/m/02g9p4,1
/m/0113sg,/influence/influence_node/influenced_by,/m/012c6j,0
/m/05vyk,/film/film/estimated_budget./measurement_unit/dated_money_value/currency,/m/09nqf,0
/m/01242_,/film/film/other_crew./film/film_crew_gig/film_crew_role,/m/0crvfq,0
/m/012jfb,/film/film/estimated_budget./measurement_unit/dated_money_value/currency,/m/09nqf,1
/m/0126rp,/music/record_label/artist,/m/01309x,0
/m/0g26h,/music/genre/artists,/m/01qgry,0
/m/07hgm,/film/film/genre,/m/01lrrt,0
/m/012g92,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,/m/02nwxc,0
/m/01243b,/music/genre/artists,/m/082brv,1
/m/0137g1,/award/award_nominee/award_nominations./award/award_nomination/award,/m/03qjg,0
/m/018gz8,/soccer/football_team/current_roster./soccer/football_roster_position/position,/m/0dgrmp,0
/m/012201,/award/award_winner/awards_won./award/award_honor/award_winner,/m/05yzt_,1
/m/01j7rd,/base/popstra/celebrity/friendship./base/popstra/friendship/participant,/m/01wyz92,0
/m/0137g1,/people/person/gender,/m/05zppz,1
/m/010tkc,/location/hud_county_place/county,/m/0mlyj,1
/m/011_6p,/music/performance_role/regular_performances./music/group_membership/role,/m/017j69,0
/m/01242_,/film/film/genre,/m/09sb52,0
/m/0137hn,/people/person/profession,/m/0gbbt,0
/m/011yrp,/film/film/release_date_s./film/film_regional_release_date/film_release_region,/m/05qhw,1
/m/010y34,/base/biblioness/bibs_location/state,/m/0prpt,0
/m/011ysn,/film/film/film_festivals,/m/0rgxp,0
/m/011xg5,/film/film/edited_by,/m/013h9,0
/m/012d40,/people/person/languages,/m/06wxw,0
/m/0jm4b,/people/person/religion,/m/0c8wxp,0
/m/011x_4,/film/film/film_format,/m/0cj16,1
/m/017149,/education/educational_institution/colors,/m/019sc,0
/m/0143wl,/people/person/gender,/m/05zppz,1
/m/013y1f,/music/performance_role/track_performances./music/track_contribution/role,/m/019fh,0
/m/01l03w2,/music/group_member/membership./music/group_membership/role,/m/0342h,0
/m/012m_,/military/military_combatant/military_conflicts./military/military_combatant_group/combatants,/m/059rby,0
/m/011j5x,/music/genre/artists,/m/01f85k,0
/m/013w8y,/award/award_nominee/award_nominations./award/award_nomination/award,/m/03tcnt,1
/m/03kg2v,/common/topic/webpage./common/webpage/category,/m/08mbj5d,0
/m/05vxdh,/education/educational_institution/students_graduates./education/education/major_field_of_study,/m/02bjrlw,0
/m/03h64,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,/m/01gvsn,0
/m/01q_wyj,/film/actor/film./film/performance/film,/m/02rb84n,0
/m/013tcv,/film/director/film,/m/026qnh6,1
/m/022_6,/education/educational_institution/students_graduates./education/education/student,/m/07s93v,0
/m/01qbl,/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division,/m/0mr_8,0
/m/0142rn,/business/job_title/people_with_this_title./business/employment_tenure/company,/m/06py2,1
/m/0126y2,/award/award_nominee/award_nominations./award/award_nomination/award,/m/03t5kl,1
/m/013tjc,/film/actor/film./film/performance/film,/m/04hwbq,1
/m/0126rp,/influence/influence_node/influenced_by,/m/0p_47,1
/m/012fvq,/education/educational_institution/students_graduates./education/education/student,/m/01h320,1
/m/0146pg,/award/award_nominee/award_nominations./award/award_nomination/award,/m/01bjv,0
/m/013zdg,/education/educational_degree/people_with_this_degree./education/education/institution,/m/0ch280,1
/m/013pp3,/award/award_nominee/award_nominations./award/award_nomination/award,/m/0c_dx,1
/m/013zs9,/film/actor/film./film/performance/film,/m/0422v0,0
/m/012w70,/award/award_nominee/award_nominations./award/award_nomination/award,/m/0f4x7,0
/m/014635,/people/person/places_lived./people/place_lived/location,/m/01x73,1
/m/09qs08,/film/actor/film./film/performance/film,/m/03clwtw,0
/m/0121c1,/location/location/contains,/m/0fb1q,0
/m/01438g,/award/award_nominee/award_nominations./award/award_nomination/award,/m/099tbz,1
/m/0146mv,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,/m/01vzxld,0
/m/0140g4,/film/film/featured_film_locations,/m/033_1p,0
/m/0126rp,/film/actor/film./film/performance/film,/m/02ywwy,1
/m/01438g,/film/actor/film./film/performance/film,/m/03cffvv,1
/m/01qd_r,/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/contact_category,/m/014dgf,0
/m/013zdg,/education/educational_degree/people_with_this_degree./education/education/institution,/m/04gc2,0
/m/0gnkb,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/01wg982,0
/m/05qhnq,/award/award_nominee/award_nominations./award/award_nomination/award,/m/01by1l,0
/m/0138t4,/education/university/international_tuition./measurement_unit/dated_money_value/currency,/m/01nv4h,1
/m/011k1h,/music/record_label/artist,/m/01vv6_6,1
/m/0127ps,/film/film/genre,/m/02l7c8,1
/m/011yd2,/award/award_winning_work/awards_won./award/award_honor/award_winner,/m/02rdyk7,0
/m/0146bp,/medicine/disease/risk_factors,/m/0fk1z,1
/m/0j3b,/music/genre/artists,/m/01j59b0,0
/m/013knm,/award/award_winner/awards_won./award/award_honor/award_winner,/m/07h565,1
/m/01400v,/education/field_of_study/students_majoring./education/education/major_field_of_study,/m/0nbrp,0
/m/012mrr,/film/film/featured_film_locations,/m/058cm,1
/m/0137hn,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/016h9b,1
/m/0142rn,/people/person/places_lived./people/place_lived/location,/m/02jx1,0
/m/0146pg,/award/award_nominee/award_nominations./award/award_nomination/award,/m/025m8l,1
/m/018x3,/music/performance_role/regular_performances./music/group_membership/role,/m/0l14md,0
/m/01304j,/people/person/languages,/m/0fdys,0
/m/012ycy,/music/group_member/membership./music/group_membership/role,/m/06bnz,0
/m/011zd3,/award/award_winner/awards_won./award/award_honor/award_winner,/m/041wm,0
/m/01vw20h,/award/award_nominee/award_nominations./award/award_nomination/award,/m/02gdjb,0
/m/0144l1,/award/award_nominee/award_nominations./award/award_nomination/award,/m/01ckrr,1
/m/012fvq,/education/educational_institution/students_graduates./education/education/major_field_of_study,/m/02h40lc,1
/m/012wgb,/location/location/adjoin_s./location/adjoining_relationship/adjoins,/m/0j3b,1
/m/0n00,/music/group_member/membership./music/group_membership/role,/m/0342h,0
/m/01314k,/education/educational_institution/colors,/m/019sc,1
/m/011ysn,/film/film/language,/m/03_9r,1
