head,relation,tail
/m/010xjr,/people/person/spouse_s./people/marriage/type_of_union,/m/04ztj
/m/010y34,/base/biblioness/bibs_location/country,/m/09c7w0
/m/010y34,/base/biblioness/bibs_location/state,/m/081mh
/m/010y34,/common/topic/webpage./common/webpage/category,/m/08mbj5d
/m/010y34,/location/hud_county_place/place,/m/010y34
/m/010y34,/location/location/contains,/m/019dwp
/m/010y34,/location/location/time_zones,/m/02hcv8
/m/010z5n,/location/hud_county_place/place,/m/010z5n
/m/010z5n,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,/m/0jbk9
/m/0113sg,/influence/influence_node/influenced_by,/m/04xjp
/m/0113sg,/influence/influence_node/influenced_by,/m/0dw6b
/m/0113sg,/influence/influence_node/peers./influence/peer_relationship/peers,/m/0dw6b
/m/0113sg,/people/deceased_person/place_of_death,/m/04swd
/m/0113sg,/people/person/nationality,/m/06bnz
/m/0113sg,/people/person/nationality,/m/07t21
/m/0113sg,/people/person/profession,/m/02hv44_
/m/0113sg,/people/person/profession,/m/0cbd2
/m/0113sg,/people/person/profession,/m/0dxtg
/m/0114m0,/common/topic/webpage./common/webpage/category,/m/08mbj5d
/m/0114m0,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,/m/0jbk9
/m/0114m0,/location/location/time_zones,/m/02fqwt
/m/0118d3,/common/topic/webpage./common/webpage/category,/m/08mbj5d
/m/0118d3,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,/m/0jbk9
/m/0118d3,/location/location/time_zones,/m/02fqwt
/m/011_3s,/award/award_nominee/award_nominations./award/award_nomination/award,/m/02x4x18
/m/011_3s,/award/award_nominee/award_nominations./award/award_nomination/award,/m/02z0dfh
/m/011_3s,/award/award_nominee/award_nominations./award/award_nomination/award,/m/094qd5
/m/011_3s,/award/award_nominee/award_nominations./award/award_nomination/award,/m/0bb57s
/m/011_3s,/award/award_nominee/award_nominations./award/award_nomination/award,/m/0bfvw2
/m/011_3s,/award/award_nominee/award_nominations./award/award_nomination/award,/m/0ck27z
/m/011_3s,/award/award_nominee/award_nominations./award/award_nomination/award,/m/0cqh6z
/m/011_3s,/award/award_nominee/award_nominations./award/award_nomination/award,/m/0gkts9
/m/011_3s,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/0170s4
/m/011_3s,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/01gbn6
/m/011_3s,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/01ggc9
/m/011_3s,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/01kwsg
/m/011_3s,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/01pgzn_
/m/011_3s,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/02k21g
/m/011_3s,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/02mqc4
/m/011_3s,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/02qgyv
/m/011_3s,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/0335fp
/m/011_3s,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/03x3qv
/m/011_3s,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/040t74
/m/011_3s,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/047c9l
/m/011_3s,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/04bcb1
/m/011_3s,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/04bd8y
/m/011_3s,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/05l4yg
/m/011_3s,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,/m/024hbv
/m/011_3s,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,/m/02rcwq0
/m/011_3s,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,/m/03cffvv
/m/011_3s,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,/m/06q8qh
/m/011_3s,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,/m/0j_t1
/m/011_3s,/base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency,/m/09nqf
/m/011_3s,/common/topic/webpage./common/webpage/category,/m/08mbj5d
/m/011_3s,/film/actor/dubbing_performances./film/dubbing_performance/language,/m/02h40lc
/m/011_3s,/film/actor/film./film/performance/film,/m/028kj0
/m/011_3s,/film/actor/film./film/performance/film,/m/03cffvv
/m/011_3s,/film/actor/film./film/performance/film,/m/040_lv
/m/011_3s,/film/actor/film./film/performance/film,/m/0dc7hc
/m/011_3s,/people/person/gender,/m/02zsn
/m/011_3s,/people/person/nationality,/m/09c7w0
/m/011_3s,/people/person/place_of_birth,/m/02dtg
/m/011_3s,/people/person/profession,/m/018gz8
/m/011_3s,/people/person/profession,/m/01d_h8
/m/011_3s,/people/person/profession,/m/02hrh1q
/m/011_3s,/people/person/profession,/m/03gjzk
/m/011_3s,/people/person/profession,/m/0cbd2
/m/011_3s,/people/person/spouse_s./people/marriage/type_of_union,/m/01g63y
/m/011_6p,/music/instrument/instrumentalists,/m/01p95y0
/m/011_6p,/music/performance_role/regular_performances./music/group_membership/group,/m/02dw1_
/m/011_6p,/music/performance_role/regular_performances./music/group_membership/role,/m/018j2
/m/011_6p,/music/performance_role/regular_performances./music/group_membership/role,/m/018vs
/m/011_6p,/music/performance_role/regular_performances./music/group_membership/role,/m/0192l
/m/011_6p,/music/performance_role/regular_performances./music/group_membership/role,/m/01dnws
/m/011_6p,/music/performance_role/regular_performances./music/group_membership/role,/m/01wy6
/m/011_6p,/music/performance_role/regular_performances./music/group_membership/role,/m/01xqw
/m/011_6p,/music/performance_role/regular_performances./music/group_membership/role,/m/02w3w
/m/011_6p,/music/performance_role/regular_performances./music/group_membership/role,/m/0342h
/m/011_6p,/music/performance_role/regular_performances./music/group_membership/role,/m/03bx0bm
/m/011_6p,/music/performance_role/regular_performances./music/group_membership/role,/m/03m5k
/m/011_6p,/music/performance_role/regular_performances./music/group_membership/role,/m/03q5t
/m/011_6p,/music/performance_role/regular_performances./music/group_membership/role,/m/04rzd
/m/011_6p,/music/performance_role/regular_performances./music/group_membership/role,/m/05148p4
/m/011_6p,/music/performance_role/regular_performances./music/group_membership/role,/m/05kms
/m/011_6p,/music/performance_role/regular_performances./music/group_membership/role,/m/05r5c
/m/011_6p,/music/performance_role/regular_performances./music/group_membership/role,/m/06rvn
/m/011_6p,/music/performance_role/regular_performances./music/group_membership/role,/m/07_l6
/m/011_6p,/music/performance_role/regular_performances./music/group_membership/role,/m/07brj
/m/011_6p,/music/performance_role/regular_performances./music/group_membership/role,/m/07y_7
/m/011_6p,/music/performance_role/regular_performances./music/group_membership/role,/m/0g33q
/m/011_6p,/music/performance_role/regular_performances./music/group_membership/role,/m/0l14j_
/m/011_6p,/music/performance_role/regular_performances./music/group_membership/role,/m/0l14md
/m/011_6p,/music/performance_role/regular_performances./music/group_membership/role,/m/0l14v3
/m/011_6p,/music/performance_role/regular_performances./music/group_membership/role,/m/0myk8
/m/011_6p,/music/performance_role/track_performances./music/track_contribution/role,/m/018j2
/m/011_6p,/music/performance_role/track_performances./music/track_contribution/role,/m/018vs
/m/011_6p,/music/performance_role/track_performances./music/track_contribution/role,/m/01s0ps
/m/011_6p,/music/performance_role/track_performances./music/track_contribution/role,/m/01vdm0
/m/011_6p,/music/performance_role/track_performances./music/track_contribution/role,/m/023r2x
/m/011_6p,/music/performance_role/track_performances./music/track_contribution/role,/m/026t6
/m/011_6p,/music/performance_role/track_performances./music/track_contribution/role,/m/02sgy
/m/011_6p,/music/performance_role/track_performances./music/track_contribution/role,/m/0342h
/m/011_6p,/music/performance_role/track_performances./music/track_contribution/role,/m/03t22m
/m/011_6p,/music/performance_role/track_performances./music/track_contribution/role,/m/042v_gx
/m/011_6p,/music/performance_role/track_performances./music/track_contribution/role,/m/04q7r
/m/011_6p,/music/performance_role/track_performances./music/track_contribution/role,/m/05842k
/m/011_6p,/music/performance_role/track_performances./music/track_contribution/role,/m/05r5c
/m/011_6p,/music/performance_role/track_performances./music/track_contribution/role,/m/07brj
/m/011_6p,/music/performance_role/track_performances./music/track_contribution/role,/m/07xzm
/m/011_6p,/music/performance_role/track_performances./music/track_contribution/role,/m/0bmnm
/m/011_6p,/music/performance_role/track_performances./music/track_contribution/role,/m/0dwr4
/m/011_6p,/music/performance_role/track_performances./music/track_contribution/role,/m/0g33q
/m/011_6p,/music/performance_role/track_performances./music/track_contribution/role,/m/0l15bq
/m/011_vz,/award/award_nominee/award_nominations./award/award_nomination/award,/m/01d38t
/m/011_vz,/award/award_nominee/award_nominations./award/award_nomination/award,/m/02f72_
/m/011_vz,/award/award_nominee/award_nominations./award/award_nomination/award,/m/02f72n
/m/011_vz,/award/award_nominee/award_nominations./award/award_nomination/award,/m/02f77l
/m/011_vz,/common/topic/webpage./common/webpage/category,/m/08mbj5d
/m/011_vz,/music/artist/origin,/m/0d6lp
/m/011_vz,/music/group_member/membership./music/group_membership/role,/m/03bx0bm
/m/011hdn,/award/award_nominee/award_nominations./award/award_nomination/award,/m/02x4wb
/m/011hdn,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/01wg982
/m/011hdn,/common/topic/webpage./common/webpage/category,/m/08mbj5d
/m/011hdn,/people/person/gender,/m/05zppz
/m/011hdn,/people/person/nationality,/m/09c7w0
/m/011hdn,/people/person/place_of_birth,/m/02dtg
/m/011hdn,/people/person/places_lived./people/place_lived/location,/m/02dtg
/m/011hdn,/people/person/places_lived./people/place_lived/location,/m/0d35y
/m/011hdn,/people/person/profession,/m/016z4k
/m/011hdn,/people/person/profession,/m/02dsz
/m/011hdn,/people/person/profession,/m/039v1
/m/011hdn,/people/person/profession,/m/09jwl
/m/011hq1,/base/aareas/schema/administrative_area/administrative_parent,/m/03rk0
/m/011hq1,/location/statistical_region/religions./location/religion_percentage/religion,/m/092bf5
/m/011j5x,/music/genre/artists,/m/011_vz
/m/011j5x,/music/genre/artists,/m/012zng
/m/011j5x,/music/genre/artists,/m/013rfk
/m/011j5x,/music/genre/artists,/m/0143q0
/m/011j5x,/music/genre/artists,/m/014pg1
/m/011j5x,/music/genre/artists,/m/016vn3
/m/011j5x,/music/genre/artists,/m/0178kd
/m/011j5x,/music/genre/artists,/m/017_hq
/m/011j5x,/music/genre/artists,/m/01dw_f
/m/011j5x,/music/genre/artists,/m/01tp5bj
/m/011j5x,/music/genre/artists,/m/01vs14j
/m/011j5x,/music/genre/artists,/m/01vsqvs
/m/011j5x,/music/genre/artists,/m/01vswwx
/m/011j5x,/music/genre/artists,/m/01vswx5
/m/011j5x,/music/genre/artists,/m/01w524f
/m/011j5x,/music/genre/artists,/m/01wgjj5
/m/011j5x,/music/genre/artists,/m/01whg97
/m/011j5x,/music/genre/artists,/m/01wl38s
/m/011j5x,/music/genre/artists,/m/01wqpnm
/m/011j5x,/music/genre/artists,/m/01ww_vs
/m/011j5x,/music/genre/artists,/m/01wxdn3
/m/011j5x,/music/genre/artists,/m/023l9y
/m/011j5x,/music/genre/artists,/m/02bgmr
/m/011j5x,/music/genre/artists,/m/02cpp
/m/011j5x,/music/genre/artists,/m/02hzz
/m/011j5x,/music/genre/artists,/m/02mq_y
/m/011j5x,/music/genre/artists,/m/02vr7
/m/011j5x,/music/genre/artists,/m/0326tc
/m/011j5x,/music/genre/artists,/m/03t9sp
/m/011j5x,/music/genre/artists,/m/048tgl
/m/011j5x,/music/genre/artists,/m/04_jsg
/m/011j5x,/music/genre/artists,/m/05k79
/m/011j5x,/music/genre/artists,/m/05qhnq
/m/011j5x,/music/genre/artists,/m/05xq9
/m/011j5x,/music/genre/artists,/m/070b4
/m/011j5x,/music/genre/artists,/m/07hgm
/m/011j5x,/music/genre/artists,/m/07rnh
/m/011j5x,/music/genre/artists,/m/0dw4g
/m/011j5x,/music/genre/artists,/m/0frsw
/m/011j5x,/music/genre/artists,/m/0fsyx
/m/011j5x,/music/genre/artists,/m/0jn5l
/m/011j5x,/music/genre/artists,/m/0l12d
/m/011j5x,/music/genre/artists,/m/0lbj1
/m/011j5x,/music/genre/parent_genre,/m/0190y4
/m/011j5x,/music/genre/parent_genre,/m/01pfpt
/m/011j5x,/music/genre/parent_genre,/m/02x8m
/m/011j5x,/music/genre/parent_genre,/m/06cqb
/m/011j5x,/music/genre/parent_genre,/m/0827d
/m/011k11,/music/record_label/artist,/m/012vm6
/m/011k11,/music/record_label/artist,/m/0144l1
/m/011k11,/music/record_label/artist,/m/014q2g
/m/011k11,/music/record_label/artist,/m/015bwt
/m/011k11,/music/record_label/artist,/m/0167xy
/m/011k11,/music/record_label/artist,/m/016dsy
/m/011k11,/music/record_label/artist,/m/017xm3
/m/011k11,/music/record_label/artist,/m/01bczm
/m/011k11,/music/record_label/artist,/m/01k23t
/m/011k11,/music/record_label/artist,/m/01p95y0
/m/011k11,/music/record_label/artist,/m/01vzz1c
/m/011k11,/music/record_label/artist,/m/01w524f
/m/011k11,/music/record_label/artist,/m/01wj92r
/m/011k11,/music/record_label/artist,/m/01wp8w7
/m/011k11,/music/record_label/artist,/m/0277c3
/m/011k11,/music/record_label/artist,/m/02b25y
/m/011k11,/music/record_label/artist,/m/02f1c
/m/011k11,/music/record_label/artist,/m/03f0vvr
/m/011k11,/music/record_label/artist,/m/03j1p2n
/m/011k11,/music/record_label/artist,/m/06c44
/m/011k11,/music/record_label/artist,/m/07_3qd
/m/011k11,/music/record_label/artist,/m/07mvp
/m/011k11,/music/record_label/artist,/m/0cg9y
/m/011k11,/music/record_label/artist,/m/0d9xq
/m/011k11,/music/record_label/artist,/m/0dbb3
/m/011k11,/music/record_label/artist,/m/0dtd6
/m/011k11,/music/record_label/artist,/m/0kj34
/m/011k11,/music/record_label/artist,/m/0pj9t
/m/011k11,/organization/organization/place_founded,/m/04jpl
/m/011k1h,/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language,/m/02h40lc
/m/011k1h,/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location,/m/07ssc
/m/011k1h,/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location,/m/09c7w0
/m/011k1h,/business/business_operation/industry,/m/03qh03g
/m/011k1h,/business/business_operation/industry,/m/04rlf
/m/011k1h,/common/topic/webpage./common/webpage/category,/m/08mbj5d
/m/011k1h,/music/record_label/artist,/m/01309x
/m/011k1h,/music/record_label/artist,/m/01323p
/m/011k1h,/music/record_label/artist,/m/013423
/m/011k1h,/music/record_label/artist,/m/0134s5
/m/011k1h,/music/record_label/artist,/m/014488
/m/011k1h,/music/record_label/artist,/m/014_xj
/m/011k1h,/music/record_label/artist,/m/0178kd
/m/011k1h,/music/record_label/artist,/m/017g21
/m/011k1h,/music/record_label/artist,/m/017lb_
/m/011k1h,/music/record_label/artist,/m/018d6l
/m/011k1h,/music/record_label/artist,/m/018dyl
/m/011k1h,/music/record_label/artist,/m/019g40
/m/011k1h,/music/record_label/artist,/m/01_ztw
/m/011k1h,/music/record_label/artist,/m/01j6mff
/m/011k1h,/music/record_label/artist,/m/01k3qj
/m/011k1h,/music/record_label/artist,/m/01mxnvc
/m/011k1h,/music/record_label/artist,/m/01nn6c
/m/011k1h,/music/record_label/artist,/m/01pfkw
/m/011k1h,/music/record_label/artist,/m/01q99h
/m/011k1h,/music/record_label/artist,/m/01sxd1
/m/011k1h,/music/record_label/artist,/m/01ttg5
/m/011k1h,/music/record_label/artist,/m/01vn0t_
/m/011k1h,/music/record_label/artist,/m/01vs4f3
/m/011k1h,/music/record_label/artist,/m/01vs4ff
/m/011k1h,/music/record_label/artist,/m/01vv6_6
/m/011k1h,/music/record_label/artist,/m/01vvzb1
/m/011k1h,/music/record_label/artist,/m/01vw26l
/m/011k1h,/music/record_label/artist,/m/01vw8mh
/m/011k1h,/music/record_label/artist,/m/01vwyqp
/m/011k1h,/music/record_label/artist,/m/01vxlbm
/m/011k1h,/music/record_label/artist,/m/01vzxld
/m/011k1h,/music/record_label/artist,/m/01w3lzq
/m/011k1h,/music/record_label/artist,/m/01w8n89
/m/011k1h,/music/record_label/artist,/m/01wbz9
/m/011k1h,/music/record_label/artist,/m/01wgfp6
/m/011k1h,/music/record_label/artist,/m/01wp8w7
/m/011k1h,/music/record_label/artist,/m/01wv9xn
/m/011k1h,/music/record_label/artist,/m/01wvxw1
/m/011k1h,/music/record_label/artist,/m/01wwvt2
/m/011k1h,/music/record_label/artist,/m/01wzlxj
/m/011k1h,/music/record_label/artist,/m/01x1cn2
/m/011k1h,/music/record_label/artist,/m/01x66d
/m/011k1h,/music/record_label/artist,/m/020_4z
/m/011k1h,/music/record_label/artist,/m/020hyj
/m/011k1h,/music/record_label/artist,/m/023l9y
/m/011k1h,/music/record_label/artist,/m/026spg
/m/011k1h,/music/record_label/artist,/m/02cpp
/m/011k1h,/music/record_label/artist,/m/02lbrd
/m/011k1h,/music/record_label/artist,/m/02r1tx7
/m/011k1h,/music/record_label/artist,/m/02vcp0
/m/011k1h,/music/record_label/artist,/m/032t2z
/m/011k1h,/music/record_label/artist,/m/03fbc
/m/011k1h,/music/record_label/artist,/m/03j24kf
/m/011k1h,/music/record_label/artist,/m/03ryks
/m/011k1h,/music/record_label/artist,/m/03sww
